Date / Time,City,State,Shape,Duration,Summary,Posted,Date of Sighting,Time of Sighting,Meridian
9/19/08 23:20,Acton or Palmdale,CA,Triangle,still out there,Bright object released 3 Red Triangle Shapes and they are now hovering,10/31/08,9/19/08,11:20:00,PM
9/19/08 20:00,Lebanon,IL,Triangle,5-15 minutes,shaped craft was flying very low and very slow directly over my vehicle,10/31/08,9/19/08,8:00:00,PM
9/18/08 21:30,Weymouth (UK/England),,Triangle,5 seconds,Black triangle with dim white lights in its corners flying overhead,10/31/08,9/18/08,9:30:00,PM
9/18/08 3:00,San Diego,CA,Triangle,roughly an hour,I saw five crafts in the sky.,10/31/08,9/18/08,3:00:00,AM
9/17/08 20:30,Atwater,OH,Triangle,5 minutes,TRIANGLE UFO'S ARE REALLY IN THE SKY,2/14/10,9/17/08,8:30:00,PM
9/16/08 21:00,Thompson (Canada),MB,Triangle,10 minutes,Blaxk triangle with 3 lights and a black figure,1/12/18,9/16/08,9:00:00,PM
9/15/08 20:03,Melbourne,FL,Triangle,2 Minutes,Triangle Shaped Craft,10/31/08,9/15/08,8:03:00,PM
9/15/08 12:00,San Antonio,TX,Triangle,About 5 Minutes,"San Antonio, TX. September 2008 - 3 Witnesses - Triangular Formation in the sky.",4/13/10,9/15/08,12:00:00,PM
9/15/08 5:55,Starks,ME,Triangle,15 minutes,"Triangle shaped object, 8-10ft thick, 50-60ft long, 40ft wide, (my estimate), had three lights one on each corner, with a black to red",9/11/15,9/15/08,5:55:00,AM
9/15/08 5:30,Eureka,MT,Triangle,1 hour,"I am missing one hour of time.

 500 Lights On Object0: Yes",10/31/08,9/15/08,5:30:00,AM
9/14/08 14:00,Brownsville,TX,Triangle,2 days,"triangle in backyard,, i have knowledge and they know,, i know.",10/31/08,9/14/08,2:00:00,PM
9/14/08 8:45,Interstate 5 (10 miles south of Rte. 165),CA,Triangle,5 min,"I5 09/14/08 Three lights low to the freeway, went into a field",10/31/08,9/14/08,8:45:00,AM
9/13/08 23:35,Manhattan Beach,CA,Triangle,30,"Circular pattern lights over Manhattan Beach, CA",10/31/08,9/13/08,11:35:00,PM
9/12/08 20:45,Rescue,CA,Triangle,3-7 min.,"Triangular Craft Hovers and Possibly Lands in Rescue, CA",10/31/08,9/12/08,8:45:00,PM
9/12/08 20:04,Hood River,OR,Triangle,5 sec,I was driving on Hwy 84 with my daughter and saw a triangle shaped object it all happened so quickly but I know it had lights on it an,10/31/08,9/12/08,8:04:00,PM
9/10/08 23:00,Cogan Station,PA,Triangle,1 hour,"P.A. sightings /frequent in small valley of Quiggleville, Cogan Station",10/31/08,9/10/08,11:00:00,PM
9/10/08 22:15,Tacoma,WA,Triangle,5 minutes,"Triangle light formation seen moving in Tacoma night sky, for the second time.",10/31/08,9/10/08,10:15:00,PM
9/9/08 22:00,Shelbyville,IL,Triangle,7 seconds,"triangle ,3 huge bright lights, fly over me at 100 feet (silent)",10/31/08,9/9/08,10:00:00,PM
9/8/08 7:15,Reading,PA,Triangle,20 minutes,"It was a beautiful evening.Coll,clear,with a pale blue sky tinged by a golden sunset.I was coming from a local department store and as",8/5/12,9/8/08,7:15:00,AM
9/7/08 23:50,Roslyn,WA,Triangle,20,three lights in wenatchee national forest (washington) sky,10/31/08,9/7/08,11:50:00,PM
9/7/08 23:00,Council Bluffs,IA,Triangle,two minutes,"Sighted black triangle with three white lights and one red. Hovers, moves slowly, turns. Little sound.",10/31/08,9/7/08,11:00:00,PM
9/7/08 22:15,Tacoma,WA,Triangle,10 minutes,Large triangle shaped UFO over Tacoma observed by 3,10/31/08,9/7/08,10:15:00,PM
9/6/08 22:00,Baton Rouge,LA,Triangle,1 min,"A V shaped object with 5-6 ""lights"" running on either side and a solid mass in the middle flying over Baton Rouge on September 6, 2008.",10/31/08,9/6/08,10:00:00,PM
9/4/08 21:15,Modesto,CA,Triangle,90 seconds,Low level Triangular shaped aircraft with many red and white flashing lights,10/31/08,9/4/08,9:15:00,PM
9/4/08 21:00,Spokane Valley,WA,Triangle,15 min.,Saw two triangular shaped objects. Yellow to bright white. Came up over the horizon northeast and headed west and upward very brig,10/31/08,9/4/08,9:00:00,PM
9/4/08 14:00,Maury (France),,Triangle,half a second,triangle shaped craft exceeding 10000 miles an hour speed,10/31/08,9/4/08,2:00:00,PM
9/3/08 20:05,Spring,TX,Triangle,1 MINUTE,large triangle craft spotted 2 witnesses,10/31/08,9/3/08,8:05:00,PM
9/3/08 0:00,Holopaw,FL,Triangle,5 minutes,UFO spotted on 192 in Holopaw.,10/31/08,9/3/08,12:00:00,AM
9/2/08 23:30,Pasco,WA,Triangle,"several minutes, I drove","Gunmetal grey type aircraft with two bright lights and a red blinking light in the center over Pasco, WA.",10/31/08,9/2/08,11:30:00,PM
9/1/08 23:00,Pearsall,TX,Triangle,5 MIN,TRIANGLE SHAPE WITH 4 SETS OF LIGHTS WHITE SHAPE THEN DID A SLIGHT TURN THEN VANNISHED,1/10/09,9/1/08,11:00:00,PM
9/1/08 11:00,Yukon,OK,Triangle,20 minutes,I have lived in yukon all my life. I was 17 when this occurred and will take what me and a friend seen to the grave. we sneeked outside,12/12/13,9/1/08,11:00:00,AM
8/31/08 22:00,Fort Collins,CO,Triangle,8 minutes,"Triangle seen in telescope. ((NUFORC Note: Possible ""twinkling"" star, we suspect. PD))",10/31/08,8/31/08,10:00:00,PM
8/31/08 20:50,Bohemia,NY,Triangle,2 sec,Large object high rate of speed no lights no sound or air movement very low altitude.,10/31/08,8/31/08,8:50:00,PM
8/31/08 4:45,Cloquet,MN,Triangle,2 minutes,Bright red lights moving in steady progression,10/31/08,8/31/08,4:45:00,AM
8/31/08 1:10,Williston,ND,Triangle,4 - 5 Seconds,Three orange dots in a triangular shape over ND,10/31/08,8/31/08,1:10:00,AM
8/30/08 17:00,Ottawa (Canada),ON,Triangle,7 seconds,Triangular shaped metallic object over ottawa,10/31/08,8/30/08,5:00:00,PM
8/29/08 20:30,I-65 (20 miles S of U. S. Rte. 30),IN,Triangle,less than one minute,Massive triangular object over rural Indiana on Interstate 65,10/31/08,8/29/08,8:30:00,PM
8/29/08 20:30,Clay,NY,Triangle,10 to 15 min,Something shaped like a big triangle flew slowly and directly over the top of my car,8/5/09,8/29/08,8:30:00,PM
8/28/08 21:20,Draper,UT,Triangle,30 min,"Triangular, shadowy, silent shapes moving south across the Draper sky",10/31/08,8/28/08,9:20:00,PM
8/28/08 21:00,Orem,UT,Triangle,30 Sec,Silent translucent triangle,10/31/08,8/28/08,9:00:00,PM
8/27/08 22:00,Clear Lake,WA,Triangle,5 minutes,Triangular shaped UFOs,7/3/13,8/27/08,10:00:00,PM
8/27/08 22:00,,,Triangle,,I found the triangle UFO on Google Earth! http://img179.imageshack.us/my.php?image=ufogooglekw2.jpg,10/31/08,8/27/08,10:00:00,PM
8/25/08 21:00,Athens,TX,Triangle,6-8 sec,Unkonwn object in the night sky emitting 4 dim lit lights in a triangular form,10/31/08,8/25/08,9:00:00,PM
8/24/08 22:00,St. Clair Shores,MI,Triangle,10 SECONDS,"Unlit, dark triangle shape craft moved very quickly across horizon at moderate altitude in a westerly heading.",10/31/08,8/24/08,10:00:00,PM
8/22/08 22:15,West Valley City,UT,Triangle,3 seconds,I saw a semi transparent swept wing object travel from north to south in about two to three seconds that covered part of ursa major.,10/31/08,8/22/08,10:15:00,PM
