Date / Time,City,State,Shape,Duration,Summary,Posted,Date of Sighting,Time of Sighting,Meridian,,
12/7/17 22:15,Lacombe (Canada),AB,Circle,<1 second,"Light in Lacombe, Alberta.",12/8/17,12/7/17,10:15:00,PM,,
12/7/17 20:00,Tulsa,OK,Circle,5 minutes,My 13 year-old grandson and I were driving home from a Tulsa hospital when he noticed 2 bright lights and in the sky and asked if it wa,12/10/17,12/7/17,8:00:00,PM,,
12/7/17 20:00,Tulsa,OK,Circle,30 minutes,Golden circles with a tail seen circling around the sky. ((NUFORC Note: Possibly advertising lights?? PD)),12/8/17,12/7/17,8:00:00,PM,,
12/3/17 22:30,Berkeley,CA,Circle,5 seconds,"Dark ominous circular craft with no lights over Berkeley, CA illuminated by the Super Moon .",1/12/18,12/3/17,10:30:00,PM,,
12/3/17 19:55,Port Chester,NY,Circle,30 seconds,Orange/Reddish orb/light high altitude moving East to West from lower NY fades to nothing after stopping in mid air,12/4/17,12/3/17,7:55:00,PM,,
12/2/17 3:20,Honeoye Falls,NY,Circle,3 seconds,Giant bright green circle.,12/4/17,12/2/17,3:20:00,AM,,
11/26/17 23:40,Armonk,NY,Circle,10 minutes,Bright red/orange round object seen right over the horizon.,12/4/17,11/26/17,11:40:00,PM,,
11/26/17 19:30,New Rochelle,NY,Circle,30 seconds,"I viewed 3 orange circles in the southeastern sky. They stayed still for a few seconds, and then streaked off.",12/4/17,11/26/17,7:30:00,PM,,
11/26/17 17:26,Leesburg,VA,Circle,90 seconds,"3 orange orbs in triangular formation in Leesburg, VA",12/10/17,11/26/17,5:26:00,PM,,
11/25/17 15:02,Springfield,IL,Circle,20 seconds,"Just after 3pm, I went outside to smoke a cigarette. Its a beautiful clear day here today and I noticed that the sky was really blue fo",12/4/17,11/25/17,3:02:00,PM,,
11/24/17 18:00,Freehold,NJ,Circle,10 seconds,Bright round object moving in a perfectly straight line broke off into 4 circulars objects all the same size and disappeared behind tre,1/12/18,11/24/17,6:00:00,PM,,
11/24/17 17:30,Bullock,NC,Circle,10 seconds,"Fast moving white light separates into three individual lights, then totally disappears within a second.",12/4/17,11/24/17,5:30:00,PM,,
11/24/17 17:25,Selbyville,DE,Circle,4-5 seconds,"Shooting star descending, heading towards the horizon; split into 3 spheres. ((NUFORC Note: Satellite re-entry. PD))",12/4/17,11/24/17,5:25:00,PM,,
11/24/17 16:20,Elkton,MD,Circle,10 seconds,4 bright white spheres flying at incredible rate of speed. I thought it was a shooting star at first but then noticed no trail and also,12/4/17,11/24/17,4:20:00,PM,,
11/23/17 21:39,Wilmette,IL,Circle,7-8 seconds,"White round light flying quick, like a shooting star, but closer to the earth. Flew with a low quick sweep east to west, then shot up t",12/4/17,11/23/17,9:39:00,PM,,
11/23/17 19:32,Vancouver,WA,Circle,10 seconds,"Golden colored object travelling NE over Vancouver, Wa. ((anonymous report))",12/4/17,11/23/17,7:32:00,PM,,
11/23/17 18:15,Stratford,CT,Circle,2 minutes,Witnesed 2 star like objects slowly move across the night sky then dissappear,12/4/17,11/23/17,6:15:00,PM,,
11/22/17 22:00,Cortland,OH,Circle,2 minutes,Circular balloon-like UFO spotted by couple in Ohio,12/4/17,11/22/17,10:00:00,PM,,
11/22/17 20:23,Helena,MT,Circle,2-5 minutes,"Red balls of light on the night of November 22nd, 2017.",12/4/17,11/22/17,8:23:00,PM,,
11/21/17 23:00,Williamsburg,IA,Circle,5 seconds,"Driving west on highway 80, my husband and I witnessed this same exact object in the sky off to the north side of the highway. A ball o",12/4/17,11/21/17,11:00:00,PM,,
11/21/17 12:55,Exeter,NH,Circle,30 seconds,At approx. 12:55 p.m. on 21NO17 I I noticed a small white ball very high in the sky travel across the sky northbound.,11/22/17,11/21/17,12:55:00,PM,,
11/19/17 21:32,East Los Angeles,CA,Circle,3 minutes,3 hovering bright orange lights.,11/22/17,11/19/17,9:32:00,PM,,
11/19/17 12:00,Marysville,CA,Circle,4 minutes,"8 circular flying objects high in the sky near Marysville, CA.",11/22/17,11/19/17,12:00:00,PM,,
11/18/17 19:26,Ventura,CA,Circle,10:00,Three amber color round objects. came in to view from the northwest and flew south. There was no sound. the front of the dish shape obj,11/22/17,11/18/17,7:26:00,PM,,
11/18/17 17:50,Mount Laurel,NJ,Circle,2 seconds,"Bright white light around 5:50 pm observed in Mount Laurel, NJ. ((anonymous report))",11/22/17,11/18/17,5:50:00,PM,,
11/18/17 1:00,Long Beach,CA,Circle,2 minutes,White star light object is jumps across the sky lighting up green then stops momentarily then moves slowly across the sky then disapear,11/22/17,11/18/17,1:00:00,AM,,
11/16/17 20:45,Florence,OR,Circle,~8 seconds,"One large white disc shaped object near Sea Lion Caves, Oregon.",11/22/17,11/16/17,8:45:00,PM,,
11/16/17 20:45,Florence,OR,Circle,5-6 seconds,Bright White Round object over ocean near Sea Lion Caves in mid coast Oregon,11/22/17,11/16/17,8:45:00,PM,,
11/16/17 20:30,Maricopa,AZ,Circle,<5 seconds,"I am glad, I stumbled upon this website. I am witnessing the same glowing fireballs as others are seeing in AZ.

 Tonight is the 3rd",11/17/17,11/16/17,8:30:00,PM,,
11/15/17 14:00,San Diego,CA,Circle,1 minutes,The craft looked like it was using bent light to cloak the craft but it reflected the sun yellow/orange glow beautiful.,11/17/17,11/15/17,2:00:00,PM,,
11/14/17 20:00,Sacramento,CA,Circle,2 minutes,Dozens of bright orange circular lights.,11/17/17,11/14/17,8:00:00,PM,,
11/14/17 13:00,Layton,UT,Circle,30 minutes,Bright white circle with a darker center.,11/17/17,11/14/17,1:00:00,PM,,
11/13/17 19:00,Roswell,NM,Circle,20 minutes,Lights blinking in sequence across the dark Nothern sky.,12/4/17,11/13/17,7:00:00,PM,,
11/13/17 17:30,Johnstown/Loveland,CO,Circle,5 hours,29 craft spotted over 5 hr period.,11/17/17,11/13/17,5:30:00,PM,,
11/12/17 19:15,Salt Lake City,UT,Circle,1 minute,Salt Lake red orbs may be a recreational drone. ((anonymous report)),1/12/18,11/12/17,7:15:00,PM,,
11/12/17 0:00,Richmond Hill,NY,Circle,~1 minute,"((HOAX??)) Craft was moving fast & stopped abruptly. Hovered in the sky, made a chilling sound. Then took off with amazing speed.",12/4/17,11/12/17,12:00:00,AM,,
11/11/17 13:26,Tucson,AZ,Circle,,"Bright object(s) traveling over Foothills from Sabino Canyon , Az.",11/17/17,11/11/17,1:26:00,PM,,
11/11/17 8:03,Missoula,MT,Circle,2 minutes,"My friend and I looked up and saw a blueish grey circle, it would fly in a small circle then disappear. ((anonymous report))",11/17/17,11/11/17,8:03:00,AM,,
11/11/17 3:30,Natick,MA,Circle,40 seconds,Sudden very bright fast-moving ball of white light disappeared and then a VERY low-flying aircraft/plane? showed up.,11/17/17,11/11/17,3:30:00,AM,,
11/10/17 17:40,Bakersfield,CA,Circle,unknown,Was this planet x.,11/17/17,11/10/17,5:40:00,PM,,
11/10/17 17:10,Brooklyn Park,MD,Circle,15 minutes,A bright light with pink trail looked like it was burning at first I thought it was a piece of space junk falling back in the atmospher,11/17/17,11/10/17,5:10:00,PM,,
