Date / Time,City,State,Shape,Duration,Summary,Posted,Date,Time,Meridian,Month,Day,Year
3/23/09 4:00,Long Beach,CA,Triangle,40 mins.,"Very bright, star-like object making loopy or jerky motions.",4/14/09,3/23/09,4:00:00,AM,3,23,2009
3/22/09 21:00,Sault Ste. Marie,MI,Circle,5 min,It hovered slowly over the car Sault Saint.,4/14/09,3/22/09,9:00:00,PM,3,22,2009
3/22/09 19:05,Harpenden (UK/England),,Circle,10/15 sec,"circle of hot light, amazing . size of a small coin.",4/14/09,3/22/09,7:05:00,PM,3,22,2009
3/22/09 11:30,Copperas Cove,TX,Triangle,5 min,"I have seen alot of aircrafts fly by my house because i live near Fort Hood, and never did my radio go out.",12/12/09,3/22/09,11:30:00,AM,3,22,2009
3/22/09 1:22,Gold Coast (Australia),,Fireball,2 minutes,2 UFO's sighted abover chevron island Goldcoast Queensland Australia 500 Lights On Object0: Yes,4/14/09,3/22/09,1:22:00,AM,3,22,2009
3/21/09 23:59,Riverton,UT,Circle,1 Hr. 5 min.,"At midnight I observed a bright multi-colored pulsa I called a friend who lives in Orem, Utah which is 20 miles south of Riverton. He",4/14/09,3/21/09,11:59:00,PM,3,21,2009
3/21/09 22:00,San Diego,CA,Circle,2 or 4 min,Two UFOs seen over Ocean Beach in San Diego,4/14/09,3/21/09,10:00:00,PM,3,21,2009
3/21/09 10:29,Carnsville,GA,Fireball,:08,"me and my son were driveing home, and we seen what looked like a ball of fire moving at a fast rate of speed,and it disapered behind so",2/14/10,3/21/09,10:29:00,AM,3,21,2009
3/21/09 0:40,San Diego,CA,Circle,7 minute,Two circular crafts with blue circular lights were seen in San Diego on 21 March 2009 40 mins after midnight.,4/14/09,3/21/09,12:40:00,AM,3,21,2009
3/21/09 0:15,Rotherham (South Yorkshire) (UK/England),,Circle,5 mins,"3 round shaped,reddish in colour,in a straight line,as if they were following each other,then each one dispersed upwards in turn.sighte",4/14/09,3/21/09,12:15:00,AM,3,21,2009
3/20/09 22:00,Seattle,WA,Triangle,I didn't wait to see the,"I saw triangular lights in the Seattle sky northwest of the Ranier Valley moving rapidly in an oval pattern on 3/20/09 at 22:00.

 50",4/14/09,3/20/09,10:00:00,PM,3,20,2009
3/20/09 21:45,Harrisville,MS,Triangle,1 to 1mn 30 sec,"triangle shape,lights at each point underneath, red light rear green front, alt. 200-300ft., speed appx 40mph.",4/14/09,3/20/09,9:45:00,PM,3,20,2009
3/20/09 21:30,Phoenix,AZ,Triangle,1hr 30 min,I WENT OUTSIDE FRIDAY AT 9;30PM FRIDAY MARCH 20 2009 i all ways look up at the sky when i go outdoors at night.I was walking to the dum,4/14/09,3/20/09,9:30:00,PM,3,20,2009
3/20/09 2:30,Hendersonville,NC,Fireball,unknown,Fireball seen by sheriff's deputy,4/14/09,3/20/09,2:30:00,AM,3,20,2009
